,Target,Available Business Disclosures,Disclosure,Sources,x,Source
1023,11.6,A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted,306-4-d,GRI 306: Waste 2020,,
1024,,from disposal:,,,,
1025,,i. onsite;,,,,
1026,,ii.  offsite.,,,,
1027,11.6,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of",306-5-a,GRI 306: Waste 2020,,
1028,,the waste.,,,,
1029,11.6,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the",306-5-b,GRI 306: Waste 2020,,
1030,,following disposal operations:,,,,
1031,,i.  Incineration (with energy recovery);,,,,
1032,,ii.  Incineration (without energy recovery);,,,,
1033,,iii.  Landfilling;,,,,
1034,,iv.  Other disposal operations.,,,,
1035,11.6,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by",306-5-c,GRI 306: Waste 2020,,
1036,,the following disposal operations:,,,,
1037,,i.  Incineration (with energy recovery);,,,,
1038,,ii.  Incineration (without energy recovery);,,,,
1039,,iii.  Landfilling;,,,,
1040,,iv.  Other disposal operations.,,,,
1041,11.6,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in",306-5-d,GRI 306: Waste 2020,,
1042,,metric tons of hazardous waste and of non-hazardous waste directed to disposal:,,,,
1043,,i.  onsite;,,,,
1044,,ii.  offsite.,,,,
1045,12.2,Total weight or volume of materials that are used to produce and package the organization’s primary,301-1-a,GRI 301: Materials 2016,,
1046,,"products and services during the reporting period, by:",,,,
1047,,i.  Non-renewable materials used;,,,,
1048,,ii.  Renewable materials used.,,,,
1049,12.2,Percentage of recycled input materials used to manufacture the organization’s primary products and,301-2-a,GRI 301: Materials 2016,,
1050,,services.,,,,
1051,12.2,Percentage of reclaimed products and their packaging materials for each product category.,301-3-a,GRI 301: Materials 2016,,
1052,12.2,"a.  Total fuel consumption within the organization from non-renewable sources, in joules or multiples,",302-1,GRI 302: Energy 2016,,
1053,,and including fuel types used.,,,,
1054,,"b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and",,,,
1055,,including fuel types used.,,,,
1056,,"c.  In joules, watt-hours or multiples, the total:",,,,
1057,,i.  electricity consumption,,,,
1058,,ii.  heating consumption,,,,
1059,,iii.  cooling consumption,,,,
1060,,iv.  steam consumption,,,,
1061,,"d.   In joules, watt-hours or multiples, the total:",,,,
1062,,i.  electricity sold,,,,
1063,,ii.  heating sold,,,,
1064,,iii.  cooling sold,,,,
1065,,iv.  steam sold,,,,
1066,,"e.  Total energy consumption within the organization, in joules or multiples.",,,,
1067,,"f.   Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1068,,g.  Source of the conversion factors used.,,,,
1069,12.2,"Energy consumption outside of the organization, in joules or multiples.",302-2-a,GRI 302: Energy 2016,,
1070,12.2,Energy intensity ratio for the organization.,302-3-a,GRI 302: Energy 2016,,
1071,12.2,Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency,302-4-a,GRI 302: Energy 2016,,
1072,,"initiatives, in joules or multiples.",,,,
1073,12.2,"Reductions in energy requirements of sold products and services achieved during the reporting period,",302-5-a,GRI 302: Energy 2016,,
1074,,in joules or multiples.,,,,
1075,12.4,"A description of how the organization interacts with water, including how and where water is withdrawn,",303-1-a,GRI 303: Water and,,
1076,,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked",,Effluents 2018,,
1077,,"to the organization’s activities, products or services by a business relationship (e.g., impacts caused by",,,,
1078,,runoff).,,,,
1079,12.4,"A description of how water-related impacts are addressed, including how the organization works with",303-1-c,GRI 303: Water and,,
1080,,"stakeholders to steward water as a shared resource, and how it engages with suppliers or customers",,Effluents 2018,,
1081,,with significant water-related impacts.,,,,
1082,12.4,a.  Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.,305-1,GRI 305: Emissions 2016,,
1083,,"b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.",,,,
1084,,c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.,,,,
1085,12.4,a.  Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.,305-2,GRI 305: Emissions 2016,,
1086,,"b.  If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2",,,,
1087,,equivalent.,,,,
1088,,"c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,",,,,
1089,,or all.,,,,
1090,12.4,a.  Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.,305-3,GRI 305: Emissions 2016,,
1091,,"b.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,",,,,
1092,,or all.,,,,
1093,,c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.,,,,
1094,,d.   Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.,,,,
1095,12.4,"Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent.",305-6-a,GRI 305: Emissions 2016,,
1096,12.4,"a. Significant air emissions, in kilograms or multiples, for each of the following:",305-7,GRI 305: Emissions 2016,,
1097,,i.  NOX,,,,
1098,,ii.  SOX,,,,
1099,,iii.  Persistent organic pollutants (POP),,,,
1100,,iv.  Volatile organic compounds (VOC),,,,
1101,,v.  Hazardous air pollutants (HAP),,,,
1102,,vi.  Particulate matter (PM),,,,
1103,,vii.  Other standard categories of air emissions identified in relevant regulations,,,,
1104,,b.  Source of the emission factors used.,,,,
1105,,"c.  Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1106,12.4,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:",306-1,GRI 306: Waste 2020,,
1107,,"i.  the inputs, activities, and outputs that lead or could lead to these impacts;",,,,
1108,,ii.  whether these impacts relate to waste generated in the organization’s own activities or to waste,,,,
1109,,generated upstream or downstream in its value chain.,,,,
1110,12.4,"Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:",306-2-a,GRI 306: Waste 2016,,
1111,,i.  Reuse,,,,
1112,,ii.  Recycling,,,,
1113,,iii.  Composting,,,,
1114,,"iv.  Recovery, including energy recovery",,,,
1115,,v.  Incineration (mass burn),,,,
1116,,vi.  Deep well injection,,,,
1117,,vii.  Landfill,,,,
1118,,viii.  On-site storage,,,,
1119,,ix.  Other (to be specified by the organization),,,,
1120,12.4,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own",306-2-a,GRI 306: Waste 2020,,
1121,,"activities and upstream and downstream in its value chain, and to manage significant impacts from",,,,
1122,,waste generated.,,,,
1123,12.4,"Total weight of non-hazardous waste, with a breakdown by the following disposal methods where",306-2-b,GRI 306: Waste 2016,,
1124,,applicable:,,,,
1125,,i.  Reuse,,,,
1126,,i.  Recycling,,,,
1127,,ii.  Composting,,,,
1128,,"iii.  Recovery, including energy recovery",,,,
1129,,iv.  Incineration (mass burn),,,,
1130,,v.  Deep well injection,,,,
1131,,vi.  Landfill,,,,
1132,,vii.  On-site storage,,,,
1133,,viii.  Other (to be specified by the organization),,,,
1134,12.4,"If the waste generated by the organization in its own activities is managed by a third party, a description",306-2-b,GRI 306: Waste 2020,,
1135,,of the processes used to determine whether the third party manages the waste in line with contractual or,,,,
1136,,legislative obligations.,,,,
1137,12.4,The processes used to collect and monitor waste-related data.,306-2-c,GRI 306: Waste 2020,,
1138,12.4,Total number and total volume of recorded significant spills.,306-3-a,GRI 306: Waste 2016,,
1139,12.4,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition",306-3-a,GRI 306: Waste 2020,,
1140,,of the waste.,,,,
1141,12.4,The following additional information for each spill that was reported in the organization’s financial,306-3-b,GRI 306: Waste 2016,,
